RU;Band Size;Band Number;Code;Specie Name;Foraging strategy;Specie Code;Age;Age How1;Age How2;Sex;Sex How1;Sex How2;BP;CP;Fat;Body Molt;FF Molt;Wear;Ecto;Wing Chord;Weight;Total Tail;Longest Tail;Shortest tail (R1);Bill corrugated;Throat feathers;Exposed culmen;Width of R5;Date;Location;Session;Month;Year;Time;Net;Bander;Total culmen;Width culmen;Depth culmen;Tarsus;Leg aperture;Hallux;SL;R1;Tarsus Ring Size (Hummingbirds)
4508;X;A53608;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;M;P;9;0;0;0;1;0;1;0;56;3.9;41;41;NA;0;NA;11.81;NA;29-ago-14;MASE;Second;August;2014;9:15;8;JA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4509;X;A53610;N;METALLURA TYRIANTHINA;Territorial;METY;Y;P;9;M;P;9;0;0;0;2;0;1;0;56;NA;41;41;NA;0;NA;11.84;NA;29-ago-14;MASE;Second;August;2014;9:15;8;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4510;X;A53652;N;COELIGENA IRIS;Trapliner;COIR;Y;I;P;U;9;9;0;0;0;0;0;1;0;73;6.85;50;50;NA;70;NA;28.5;NA;29-ago-14;MASE;Second;August;2014;9:45;3;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4511;X;A53653;N;ERIOCNEMIS VESTITA;Territorial;ERVE;Y;I;P;U;9;9;0;0;0;1;0;1;0;60;4.7;43;43;NA;60;NA;18.23;NA;29-ago-14;MASE;Second;August;2014;10:15;7;AN;23.51;3.91;1.84;7.03;12.95;3.89;24;NA;
4512;X;A53611;N;METALLURA TYRIANTHINA;Territorial;METY;Y;P;9;U;9;9;0;0;0;2;0;1;M;50;3.45;39;39;NA;50;NA;10.98;NA;29-ago-14;MASE;Second;August;2014;10:45;14;JA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4514;X;A53654;N;HELIANGELUS VIOLA;Territorial;HEVI;A;P;9;M;P;9;0;0;0;0;0;1;0;67;6.2;61;61;NA;0;NA;14.89;NA;29-ago-14;MASE;Second;August;2014;10:15;2;JA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4515;X;A53655;N;COELIGENA IRIS;Trapliner;COIR;Y;P;9;U;9;9;0;0;0;0;0;1;M;53;6.45;48;48;NA;60;NA;27.56;NA;29-ago-14;MASE;Second;August;2014;10:45;22;JA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4516;X;A53612;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;M;P;9;0;0;0;0;A;1;M;50;4.05;38;38;NA;10;NA;11.33;NA;29-ago-14;MASE;Second;August;2014;11:45;2;JA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4517;X;A53613;N;ERIOCNEMIS VESTITA;Territorial;ERVE;A;P;9;M;P;9;0;0;0;1;0;1;M;57;4.65;42;42;NA;0;NA;17.85;NA;29-ago-14;MASE;Second;August;2014;12:15;17;JA;23.12;4.6;1.99;3.88;9.88;3.86;29;NA;
4518;X;A53656;N;ERIOCNEMIS LUCIANI;Territorial;ERLU;A;P;9;U;9;9;0;0;0;0;0;1;0;68;6.1;58;58;NA;0;NA;20.33;NA;29-ago-14;MASE;Second;August;2014;14:45;3;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4519;X;A53657;N;LAFRESNAYA LAFRESNAYI;Territorial;LALA;A;P;9;M;P;9;0;0;0;0;0;1;M;61;5.4;41;41;NA;0;NA;24.59;NA;29-ago-14;MASE;Second;August;2014;14:45;15;AN;30.94;4.11;1.95;5.42;10.99;3.29;27;NA;
4540;RE;A52776;R;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;F;P;9;0;0;0;2;0;1;0;51;3.55;36;36;NA;0;NA;12.53;NA;29-ago-14;MASE;Second;August;2014;9:15;7;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4544;X;A53614;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;F;P;9;0;0;0;2;F;1;0;50;3.55;35;35;NA;0;NA;13.03;NA;30-ago-14;MASE;Second;August;2014;8:45;20;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
4545;X;A53615;N;METALLURA TYRIANTHINA;Territorial;METY;A;P;9;F;P;9;0;0;0;1;0;1;0;48;3.7;36;36;NA;0;NA;12.43;NA;30-ago-14;MASE;Second;August;2014;9:45;1;AN;NA;NA;NA;NA;NA;NA;NA;NA;NA
